Index	Action Index	Error	Time	Library ID	Well Position	Script Class	Script Function	Active Script	Action	Comment	Parameter Name	Parameter Value	Message	
45	10	False	04/18/2025 13:57:10.370			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection		Output : Library ID	7230		
46	11	False	04/18/2025 13:57:10.372			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection					
47	11	False	04/18/2025 13:57:10.372			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection		Input : Libraries Collection	(VT_UNKNOWN)		
48	11	False	04/18/2025 13:57:10.372			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection		Input : Use Index for querying?	Yes		
49	11	False	04/18/2025 13:57:10.372			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection		Input : Index	2		
50	11	False	04/18/2025 13:57:10.372			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection		Input : Library ID			
51	11	False	04/18/2025 13:57:10.372			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection					
52	11	False	04/18/2025 13:57:10.372			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection		Output : Library	(VT_UNKNOWN)		
53	11	False	04/18/2025 13:57:10.372			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection		Output : Library ID	7232		
54	12	False	04/18/2025 13:57:10.374			GetDesignAssemblePrompts	Execute	ASMain	Comment	Library ID List: [0, 7230, 7232]				
55	12	False	04/18/2025 13:57:10.374			GetDesignAssemblePrompts	Execute	ASMain	Comment	Library ID List: [0, 7230, 7232]	Input : Comment	Library ID List: [0, 7230, 7232]		
56	12	False	04/18/2025 13:57:10.374			GetDesignAssemblePrompts	Execute	ASMain	Comment	Library ID List: [0, 7230, 7232]				
57	13	False	04/18/2025 13:57:10.421			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	VPG_ArmResource				
58	13	False	04/18/2025 13:57:10.421			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	VPG_ArmResource	Input : GlobalVariableType	String		
59	13	False	04/18/2025 13:57:10.421			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	VPG_ArmResource	Input : GlobalVariableName	VPG_ArmResource		
60	13	False	04/18/2025 13:57:10.422			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	VPG_ArmResource				
61	13	False	04/18/2025 13:57:10.422			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	VPG_ArmResource	Output : GlobalVariableStringValue	Arm - Vial Plate Gripper		
62	14	False	04/18/2025 13:57:10.426			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	ETip_Tag				
63	14	False	04/18/2025 13:57:10.426			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	ETip_Tag	Input : GlobalVariableType	String		
64	14	False	04/18/2025 13:57:10.426			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	ETip_Tag	Input : GlobalVariableName	ETip_Tag		
65	14	False	04/18/2025 13:57:10.427			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	ETip_Tag				
66	14	False	04/18/2025 13:57:10.427			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	ETip_Tag	Output : GlobalVariableStringValue	ExtSingleTip		
67	15	False	04/18/2025 13:57:10.428			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	1Tip_Tag				
68	15	False	04/18/2025 13:57:10.428			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	1Tip_Tag	Input : GlobalVariableType	String		
69	15	False	04/18/2025 13:57:10.428			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	1Tip_Tag	Input : GlobalVariableName	1Tip_Tag		
70	15	False	04/18/2025 13:57:10.428			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	1Tip_Tag				
71	15	False	04/18/2025 13:57:10.428			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Read Global Variable Data	1Tip_Tag	Output : GlobalVariableStringValue	SingleTip		
72	16	False	04/18/2025 13:57:10.434			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type					
73	16	False	04/18/2025 13:57:10.434			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Input : Index	1		
74	16	False	04/18/2025 13:57:10.434			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Input : Maps Collection	(VT_UNKNOWN)		
75	16	False	04/18/2025 13:57:10.435			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type					
76	16	False	04/18/2025 13:57:10.435			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Map Type	Uniform		
77	16	False	04/18/2025 13:57:10.435			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Source Map	0		
78	16	False	04/18/2025 13:57:10.435			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Parameter Map	1		
79	16	False	04/18/2025 13:57:10.435			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Array Map	0		
80	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info					
81	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Input : Index	1		
82	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Input : Maps Collection	(VT_UNKNOWN)		
83	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info					
84	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Parameter Name	StirRate		
85	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Library Name	plate1		
86	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Library ID	7230		
87	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Map Amounts (decimal)	500		
88	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Number Of Amounts	1		
89	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Map Text			
90	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Rows	1		
91	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Columns	1		
92	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Tags	Processing		
93	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Number Of Tags	1		
94	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Map Type	Uniform		
95	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Unit	rpm		
96	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Description	Set StirRate to 500 rpm; plate1 (A1)		
97	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Uniform Decimal Value	500		
98	17	False	04/18/2025 13:57:10.440			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Parameter Map Info		Output : Uniform Text Value			
99	18	False	04/18/2025 13:57:10.467			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type					
100	18	False	04/18/2025 13:57:10.467			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Input : Index	2		
101	18	False	04/18/2025 13:57:10.467			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Input : Maps Collection	(VT_UNKNOWN)		
102	18	False	04/18/2025 13:57:10.467			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type					
103	18	False	04/18/2025 13:57:10.467			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Map Type	Uniform		
104	18	False	04/18/2025 13:57:10.467			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Source Map	1		
105	18	False	04/18/2025 13:57:10.467			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Parameter Map	0		
106	18	False	04/18/2025 13:57:10.467			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Array Map	0		
107	19	False	04/18/2025 13:57:10.479			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info					
108	19	False	04/18/2025 13:57:10.479			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Input : Maps Collection	(VT_UNKNOWN)		
109	19	False	04/18/2025 13:57:10.479			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Input : Index	2		
110	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info					
111	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Source Name	standard		
112	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Library Name	plate1		
113	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Library ID	7230		
114	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Map Amounts	100000		
115	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Number Of Amounts	1		
116	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Rows	1		
117	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Columns	1		
118	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Tags	SkipMap		
119	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Number Of Tags	1		
120	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Map Type	Uniform		
121	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : UnitDispensed	microliters		
122	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : DesignUnit	microliters		
123	19	False	04/18/2025 13:57:10.481			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Description	Add 100000 ul standard to plate1 (A1) in ul		
124	20	False	04/18/2025 13:57:10.484			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type					
125	20	False	04/18/2025 13:57:10.484			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Input : Index	3		
126	20	False	04/18/2025 13:57:10.484			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Input : Maps Collection	(VT_UNKNOWN)		
127	20	False	04/18/2025 13:57:10.484			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type					
128	20	False	04/18/2025 13:57:10.484			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Map Type	Uniform		
129	20	False	04/18/2025 13:57:10.484			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Source Map	1		
130	20	False	04/18/2025 13:57:10.484			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Parameter Map	0		
131	20	False	04/18/2025 13:57:10.484			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Array Map	0		
132	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info					
133	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Input : Maps Collection	(VT_UNKNOWN)		
134	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Input : Index	3		
135	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info					
136	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Source Name	standard		
137	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Library Name	plate1		
138	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Library ID	7230		
139	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Map Amounts	100000		
140	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Number Of Amounts	1		
141	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Rows	1		
142	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Columns	3		
143	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Tags	SkipMap		
144	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Number Of Tags	1		
145	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Map Type	Uniform		
146	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : UnitDispensed	microliters		
147	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : DesignUnit	microliters		
148	21	False	04/18/2025 13:57:10.486			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Description	Add 100000 ul standard to plate1 (A3) in ul		
149	22	False	04/18/2025 13:57:10.487			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type					
150	22	False	04/18/2025 13:57:10.487			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Input : Index	4		
151	22	False	04/18/2025 13:57:10.487			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Input : Maps Collection	(VT_UNKNOWN)		
152	22	False	04/18/2025 13:57:10.487			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type					
153	22	False	04/18/2025 13:57:10.487			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Map Type	Uniform		
154	22	False	04/18/2025 13:57:10.487			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Source Map	1		
155	22	False	04/18/2025 13:57:10.487			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Parameter Map	0		
156	22	False	04/18/2025 13:57:10.487			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Map Type		Output : Is Array Map	0		
157	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info					
158	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Input : Maps Collection	(VT_UNKNOWN)		
159	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Input : Index	4		
160	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info					
161	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Source Name	standard		
162	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Library Name	plate1		
163	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Library ID	7230		
164	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Map Amounts	100000		
165	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Number Of Amounts	1		
166	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Rows	2		
167	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Columns	1		
168	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Tags	SkipMap		
169	23	False	04/18/2025 13:57:10.488			GetDesignAssemblePrompts	UnitOpsUsed	ASMain	Get Source Map Info		Output : Number Of Tags	1		
